Frame,Timestamp,red,yellow,green,blue
145,0:00:04.833,41266,19131,11968,46070
146,0:00:04.866,41441,19009,11968,45812
147,0:00:04.900,41428,19023,11955,45886
148,0:00:04.933,41436,19021,11959,45868
149,0:00:04.966,41452,19126,11745,45893
150,0:00:05.000,41452,19135,11749,45887
151,0:00:05.033,41450,19135,11737,45879
152,0:00:05.066,41456,19135,11729,45875
153,0:00:05.100,41490,19162,11547,45984
154,0:00:05.133,41491,19155,11551,45982
155,0:00:05.166,41490,19155,11551,45977
156,0:00:05.200,41492,19155,11555,45978
157,0:00:05.233,41700,19972,11152,45894
158,0:00:05.266,41899,19909,11185,45608
159,0:00:05.300,41898,19919,11137,45652
160,0:00:05.333,41893,19930,11153,45641
161,0:00:05.366,41888,20016,11093,45801
162,0:00:05.400,41900,20012,11105,45771
163,0:00:05.433,41896,20020,11113,45771
164,0:00:05.466,41896,20016,11113,45772
165,0:00:05.500,41923,20198,10960,45894
166,0:00:05.533,41929,20185,10938,45879
167,0:00:05.566,41925,20194,10938,45879
168,0:00:05.600,41927,20185,10936,45885
169,0:00:05.633,42052,20783,10404,45846
170,0:00:05.666,42219,20589,10448,45501
171,0:00:05.700,42253,20613,10413,45556
172,0:00:05.733,42249,20595,10425,45538
173,0:00:05.766,42262,20733,10269,45723
174,0:00:05.800,42263,20708,10277,45730
175,0:00:05.833,42263,20733,10273,45722
176,0:00:05.866,42263,20725,10273,45719
177,0:00:05.900,42278,20860,10106,45851
178,0:00:05.933,42278,20855,10128,45826
179,0:00:05.966,42278,20859,10128,45826
180,0:00:06.000,42278,20859,10124,45840
181,0:00:06.033,42227,21496,9641,45615
182,0:00:06.066,42361,21377,9731,45195
183,0:00:06.100,42373,21368,9735,45179
184,0:00:06.133,42374,21360,9719,45165
185,0:00:06.166,42391,21490,9652,45246
186,0:00:06.200,42391,21490,9644,45236
187,0:00:06.233,42391,21493,9640,45228
188,0:00:06.266,42391,21493,9636,45229
189,0:00:06.300,42437,21642,9585,45270
190,0:00:06.333,42437,21648,9589,45296
191,0:00:06.366,42437,21648,9581,45290
192,0:00:06.400,42437,21648,9581,45290
193,0:00:06.433,42603,22141,9165,45366
194,0:00:06.466,42760,22081,9197,44970
195,0:00:06.500,42711,22126,9145,45082
196,0:00:06.533,42726,22138,9149,45091
197,0:00:06.566,42736,22182,9058,45151
198,0:00:06.600,42735,22179,9086,45176
199,0:00:06.633,42735,22183,9082,45153
200,0:00:06.666,42735,22183,9082,45153
201,0:00:06.700,42765,22356,9006,45229
202,0:00:06.733,42766,22352,9014,45239
203,0:00:06.766,42767,22354,9011,45242
204,0:00:06.800,42767,22354,9011,45237
205,0:00:06.833,42951,22902,8670,45178
206,0:00:06.866,43118,22833,8711,44830
207,0:00:06.900,43120,22836,8686,44860
208,0:00:06.933,43121,22829,8694,44861
209,0:00:06.966,43154,23004,8672,44847
210,0:00:07.000,43149,23011,8672,44860
211,0:00:07.033,43146,23009,8672,44852
212,0:00:07.066,43146,23005,8668,44856
213,0:00:07.100,43171,23081,8506,45160
214,0:00:07.133,43177,23087,8514,45136
215,0:00:07.166,43173,23086,8526,45131
216,0:00:07.200,43174,23082,8522,45132
217,0:00:07.233,43257,23598,8122,44762
218,0:00:07.266,43354,23496,8166,44522
219,0:00:07.300,43336,23497,8159,44522
220,0:00:07.333,43346,23493,8165,44522
221,0:00:07.366,43350,23517,8119,44530
222,0:00:07.400,43350,23512,8123,44512
223,0:00:07.433,43350,23508,8119,44513
224,0:00:07.466,43350,23508,8119,44519
225,0:00:07.500,43396,23654,7975,44693
226,0:00:07.533,43403,23658,7963,44612
227,0:00:07.566,43399,23658,7959,44610
228,0:00:07.600,43397,23658,7951,44607
229,0:00:07.633,43616,23989,7588,44818
230,0:00:07.666,43747,23938,7600,44423
231,0:00:07.700,43746,23933,7617,44431
232,0:00:07.733,43756,23940,7625,44444
233,0:00:07.766,43764,24022,7509,44601
234,0:00:07.800,43764,24022,7505,44599
235,0:00:07.833,43764,24022,7505,44602
236,0:00:07.866,43764,24022,7505,44602
237,0:00:07.900,43807,24164,7449,44730
238,0:00:07.933,43807,24160,7453,44731
239,0:00:07.966,43807,24160,7457,44725
240,0:00:08.000,43807,24160,7457,44725
241,0:00:08.033,44038,24451,7219,44458
242,0:00:08.066,44187,24388,7244,44164
243,0:00:08.100,44164,24418,7257,44216
244,0:00:08.133,44167,24425,7241,44222
245,0:00:08.166,44173,24455,7163,44307
246,0:00:08.200,44177,24455,7171,44306
247,0:00:08.233,44177,24455,7171,44311
248,0:00:08.266,44179,24455,7171,44311
249,0:00:08.300,44185,24592,7060,44391
250,0:00:08.333,44194,24597,7056,44387
251,0:00:08.366,44194,24597,7056,44383
252,0:00:08.400,44194,24597,7056,44383
253,0:00:08.433,44456,25066,6638,44188
254,0:00:08.466,44608,25025,6693,43982
255,0:00:08.500,44571,25028,6703,44024
256,0:00:08.533,44588,25032,6699,44039
257,0:00:08.566,44618,25074,6558,44058
258,0:00:08.600,44620,25070,6558,44041
259,0:00:08.633,44620,25074,6550,44065
260,0:00:08.666,44620,25074,6550,44074
261,0:00:08.700,44673,25242,6479,44058
262,0:00:08.733,44675,25238,6473,44058
263,0:00:08.766,44675,25238,6473,44058
264,0:00:08.800,44675,25238,6473,44058
265,0:00:08.833,44768,25413,6143,43684
266,0:00:08.866,44879,25390,6111,43438
267,0:00:08.900,44864,25399,6105,43439
268,0:00:08.933,44869,25403,6105,43439
269,0:00:08.966,44896,25618,6026,43447
270,0:00:09.000,44896,25601,6018,43446
271,0:00:09.033,44892,25609,6018,43448
272,0:00:09.066,44896,25605,6018,43446
273,0:00:09.100,44933,25685,5882,43449
274,0:00:09.133,44937,25693,5880,43442
275,0:00:09.166,44937,25693,5880,43442
276,0:00:09.200,44937,25693,5880,43442
277,0:00:09.233,45296,26095,5532,43221
278,0:00:09.266,45376,26013,5535,42807
279,0:00:09.300,45347,26006,5519,42820
280,0:00:09.333,45353,26006,5519,42820
281,0:00:09.366,45372,26118,5462,42837
282,0:00:09.400,45372,26110,5470,42840
283,0:00:09.433,45372,26118,5462,42835
284,0:00:09.466,45372,26118,5462,42835
285,0:00:09.500,45412,26237,5309,42858
286,0:00:09.533,45405,26234,5309,42873
287,0:00:09.566,45405,26237,5313,42872
288,0:00:09.600,45405,26237,5313,42872
289,0:00:09.633,45677,26504,4901,42513
290,0:00:09.666,45799,26316,4993,42245
291,0:00:09.700,45785,26295,4983,42244
292,0:00:09.733,45782,26295,4983,42244
293,0:00:09.766,45819,26434,4825,42262
294,0:00:09.800,45823,26434,4825,42262
295,0:00:09.833,45821,26434,4825,42262
296,0:00:09.866,45821,26434,4825,42262
297,0:00:09.900,45903,26703,4663,42252
298,0:00:09.933,45894,26704,4691,42214
299,0:00:09.966,45894,26704,4691,42214
300,0:00:10.000,45894,26704,4691,42214
301,0:00:10.033,46015,26772,4358,41843
302,0:00:10.066,46161,26678,4390,41416
303,0:00:10.100,46150,26687,4364,41435
304,0:00:10.133,46158,26689,4364,41435
305,0:00:10.166,46179,26808,4162,41552
306,0:00:10.200,46170,26804,4158,41560
307,0:00:10.233,46179,26804,4158,41561
308,0:00:10.266,46182,26804,4158,41561
309,0:00:10.300,46214,26895,3987,41620
310,0:00:10.333,46227,26891,3987,41620
311,0:00:10.366,46215,26887,3987,41620
312,0:00:10.400,46217,26891,3987,41620
313,0:00:10.433,46513,27002,3613,40848
314,0:00:10.466,46642,26938,3638,40634
315,0:00:10.500,46623,26921,3635,40661
316,0:00:10.533,46651,26928,3639,40663
317,0:00:10.566,46651,26933,3498,40661
318,0:00:10.600,46666,26909,3498,40646
319,0:00:10.633,46651,26909,3498,40646
320,0:00:10.666,46653,26909,3498,40646
321,0:00:10.700,46710,26955,3247,40563
322,0:00:10.733,46716,26965,3247,40559
323,0:00:10.766,46715,26965,3247,40559
324,0:00:10.800,46724,26965,3247,40559
325,0:00:10.833,46955,27055,2862,39376
326,0:00:10.866,47117,26969,2897,39168
327,0:00:10.900,47114,26999,2869,39168
328,0:00:10.933,47123,27005,2869,39168
329,0:00:10.966,47106,27083,2766,39047
330,0:00:11.000,47097,27083,2766,39046
331,0:00:11.033,47105,27083,2766,39047
332,0:00:11.066,47097,27083,2766,39047
